run_id,v,Ce,I,I25,inv_I25,phase,phase_order,r25,rlinear,v_label,Ce_label
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,start,0,3.6803638014184403,3.8774381652,2.5 cm/s,0.1 M
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,early,1,8.18099625531915,8.60089850155,2.5 cm/s,0.1 M
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,late,2,10.915561560283688,18.1865028175,2.5 cm/s,0.1 M
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,end,3,10.915746950354611,18.6418895105,2.5 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,start,0,3.4266823049645385,3.8158281367,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,start,0,3.4968505460526313,3.7983677464,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,start,0,3.541370891566265,3.7920064868,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,start,0,3.649769176136364,3.8750688731,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,start,0,3.7627965549738223,3.9972385197,3.0 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,early,1,5.49167545390071,6.0798553192,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,early,1,7.360942105263158,7.94749948555,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,early,1,9.463519409638554,10.2134510223,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,early,1,8.895987522727273,10.7243937973,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,early,1,8.169404892670157,10.7819766196,3.0 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,late,2,11.340922765957448,19.0875596423,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,late,2,10.391513526315789,19.6787162222,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,late,2,9.466893469879519,19.4694664623,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,late,2,8.896056298295456,18.7311538575,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,late,2,8.171673507853402,17.8984894549,3.0 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,end,3,11.333039872340427,19.6173632257,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,end,3,10.388953894736842,20.2662302863,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,end,3,9.466893469879519,19.9507075076,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,end,3,8.89601297727273,19.2205616147,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,end,3,8.174733439790575,18.4259258175,3.0 cm/s,0.1 M
23,3.5,0.1,1.41,1.3903268747226742,0.7192553191489361,start,0,4.247921914893617,4.3479733977,3.5 cm/s,0.1 M
26,3.5,0.1,1.52,1.4163909984624703,0.7060197368421053,start,0,3.7320203289473683,4.0872070211,3.5 cm/s,0.1 M
29,3.5,0.1,1.66,1.5189363785262657,0.658355421686747,start,0,3.7710598554216865,4.2221890827,3.5 cm/s,0.1 M
31,3.5,0.1,1.77,1.615494140411084,0.619005649717514,start,0,3.348820564971751,3.7654100884,3.5 cm/s,0.1 M
33,3.5,0.1,1.9,1.7380963271280243,0.575342105263158,start,0,3.420984157894737,3.8192382701,3.5 cm/s,0.1 M
23,3.5,0.1,1.41,1.3903268747226742,0.7192553191489361,early,1,4.739473865248227,4.87909581035,3.5 cm/s,0.1 M
26,3.5,0.1,1.52,1.4163909984624703,0.7060197368421053,early,1,4.497079078947369,4.928699044,3.5 cm/s,0.1 M
29,3.5,0.1,1.66,1.5189363785262657,0.658355421686747,early,1,4.819914222891567,5.3943544208,3.5 cm/s,0.1 M
31,3.5,0.1,1.77,1.615494140411084,0.619005649717514,early,1,6.122472429378531,6.8647711638499995,3.5 cm/s,0.1 M
33,3.5,0.1,1.9,1.7380963271280243,0.575342105263158,early,1,7.432128944736843,8.2913008443,3.5 cm/s,0.1 M
23,3.5,0.1,1.41,1.3903268747226742,0.7192553191489361,late,2,5.335883797872341,5.759745510649999,3.5 cm/s,0.1 M
26,3.5,0.1,1.52,1.4163909984624703,0.7060197368421053,late,2,6.515172809210526,7.2234091402,3.5 cm/s,0.1 M
29,3.5,0.1,1.66,1.5189363785262657,0.658355421686747,late,2,8.983244710843373,10.0647239297,3.5 cm/s,0.1 M
31,3.5,0.1,1.77,1.615494140411084,0.619005649717514,late,2,9.258017457627119,14.19594184845,3.5 cm/s,0.1 M
33,3.5,0.1,1.9,1.7380963271280243,0.575342105263158,late,2,8.598606078947368,17.5786105883,3.5 cm/s,0.1 M
23,3.5,0.1,1.41,1.3903268747226742,0.7192553191489361,end,3,5.41001475177305,5.8372753843,3.5 cm/s,0.1 M
26,3.5,0.1,1.52,1.4163909984624703,0.7060197368421053,end,3,6.72671184868421,7.4606734287,3.5 cm/s,0.1 M
29,3.5,0.1,1.66,1.5189363785262657,0.658355421686747,end,3,9.16103595180723,10.2743894302,3.5 cm/s,0.1 M
31,3.5,0.1,1.77,1.615494140411084,0.619005649717514,end,3,9.262016621468927,14.5362172556,3.5 cm/s,0.1 M
33,3.5,0.1,1.9,1.7380963271280243,0.575342105263158,end,3,8.598606078947368,17.9594640536,3.5 cm/s,0.1 M
11,2.5,0.2,1.41,1.3313567563994826,0.751113475177305,start,0,2.968400453900709,0.2143,2.5 cm/s,0.2 M
13,2.5,0.2,1.52,1.4830136398228189,0.6743026315789474,start,0,3.023573,0.2261,2.5 cm/s,0.2 M
15,2.5,0.2,1.67,1.6426175651883108,0.6087844311377245,start,0,2.8692010239520958,0.2328,2.5 cm/s,0.2 M
17,2.5,0.2,1.76,1.722484292117677,0.5805568181818181,start,0,2.8011866477272727,0.2408,2.5 cm/s,0.2 M
19,2.5,0.2,1.91,1.8568928640871087,0.5385340314136126,start,0,2.8569230366492144,0.2681,2.5 cm/s,0.2 M
11,2.5,0.2,1.41,1.3313567563994826,0.751113475177305,early,1,4.29942455319149,0.31710000000000005,2.5 cm/s,0.2 M
13,2.5,0.2,1.52,1.4830136398228189,0.6743026315789474,early,1,5.088624809210527,0.39239999999999997,2.5 cm/s,0.2 M
15,2.5,0.2,1.67,1.6426175651883108,0.6087844311377245,early,1,5.963557095808384,0.4997,2.5 cm/s,0.2 M
17,2.5,0.2,1.76,1.722484292117677,0.5805568181818181,early,1,8.650090301136363,0.7662,2.5 cm/s,0.2 M
19,2.5,0.2,1.91,1.8568928640871087,0.5385340314136126,early,1,8.022541465968587,0.7797499999999999,2.5 cm/s,0.2 M
11,2.5,0.2,1.41,1.3313567563994826,0.751113475177305,late,2,6.8415781276595755,0.494,2.5 cm/s,0.2 M
13,2.5,0.2,1.52,1.4830136398228189,0.6743026315789474,late,2,10.022560414473684,0.759,2.5 cm/s,0.2 M
15,2.5,0.2,1.67,1.6426175651883108,0.6087844311377245,late,2,5.963557095808384,0.4997,2.5 cm/s,0.2 M
17,2.5,0.2,1.76,1.722484292117677,0.5805568181818181,late,2,8.67992903409091,0.7714,2.5 cm/s,0.2 M
19,2.5,0.2,1.91,1.8568928640871087,0.5385340314136126,late,2,8.028465340314135,0.7806,2.5 cm/s,0.2 M
11,2.5,0.2,1.41,1.3313567563994826,0.751113475177305,end,3,7.798826531914894,0.5624,2.5 cm/s,0.2 M
13,2.5,0.2,1.52,1.4830136398228189,0.6743026315789474,end,3,10.026064835526315,0.7587,2.5 cm/s,0.2 M
15,2.5,0.2,1.67,1.6426175651883108,0.6087844311377245,end,3,9.073459814371258,0.76,2.5 cm/s,0.2 M
17,2.5,0.2,1.76,1.722484292117677,0.5805568181818181,end,3,8.690544125,0.7635,2.5 cm/s,0.2 M
19,2.5,0.2,1.91,1.8568928640871087,0.5385340314136126,end,3,8.039255434554974,0.783,2.5 cm/s,0.2 M
1,3.0,0.2,1.41,1.33444379247033,0.7493758865248226,start,0,2.973523517730496,0.2153,3.0 cm/s,0.2 M
3,3.0,0.2,1.52,1.4267209821847604,0.7009078947368421,start,0,2.8646105657894734,0.226,3.0 cm/s,0.2 M
5,3.0,0.2,1.67,1.5564855116363603,0.6424730538922155,start,0,2.7574943473053892,0.2396,3.0 cm/s,0.2 M
7,3.0,0.2,1.76,1.6364938120077734,0.6110625,start,0,2.7418374375,0.252,3.0 cm/s,0.2 M
9,3.0,0.2,1.91,1.7865160131697095,0.5597486910994764,start,0,2.6789572356020943,0.265,3.0 cm/s,0.2 M
1,3.0,0.2,1.41,1.33444379247033,0.7493758865248226,early,1,3.874671659574468,0.2862,3.0 cm/s,0.2 M
3,3.0,0.2,1.52,1.4267209821847604,0.7009078947368421,early,1,3.734787717105263,0.30074999999999996,3.0 cm/s,0.2 M
5,3.0,0.2,1.67,1.5564855116363603,0.6424730538922155,early,1,3.6427882455089824,0.32345,3.0 cm/s,0.2 M
7,3.0,0.2,1.76,1.6364938120077734,0.6110625,early,1,3.7965426704545457,0.35675,3.0 cm/s,0.2 M
9,3.0,0.2,1.91,1.7865160131697095,0.5597486910994764,early,1,5.388577277486911,0.5450999999999999,3.0 cm/s,0.2 M
1,3.0,0.2,1.41,1.33444379247033,0.7493758865248226,late,2,4.240757127659575,0.3143,3.0 cm/s,0.2 M
3,3.0,0.2,1.52,1.4267209821847604,0.7009078947368421,late,2,4.166051157894738,0.3369,3.0 cm/s,0.2 M
5,3.0,0.2,1.67,1.5564855116363603,0.6424730538922155,late,2,4.436392245508983,0.3959,3.0 cm/s,0.2 M
7,3.0,0.2,1.76,1.6364938120077734,0.6110625,late,2,9.103895397727273,0.8549,3.0 cm/s,0.2 M
9,3.0,0.2,1.91,1.7865160131697095,0.5597486910994764,late,2,8.336121256544503,0.8321,3.0 cm/s,0.2 M
1,3.0,0.2,1.41,1.33444379247033,0.7493758865248226,end,3,4.281125382978723,0.3174,3.0 cm/s,0.2 M
3,3.0,0.2,1.52,1.4267209821847604,0.7009078947368421,end,3,4.251943710526316,0.3436,3.0 cm/s,0.2 M
5,3.0,0.2,1.67,1.5564855116363603,0.6424730538922155,end,3,4.46159051497006,0.3981,3.0 cm/s,0.2 M
7,3.0,0.2,1.76,1.6364938120077734,0.6110625,end,3,9.106099857954545,0.8567,3.0 cm/s,0.2 M
9,3.0,0.2,1.91,1.7865160131697095,0.5597486910994764,end,3,8.330826345549738,0.8321,3.0 cm/s,0.2 M
